dist,radius
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,inf
0,inf
0,1.675243554
0,1.757056779
0,1.757056779
0,1.674403706
0,4.151374975
0,1.701261573
0,2.423539143
0,2.423539143
0,3.179092014
0,5.335212338
0,4.528857351
0,2.461333549
0,2.461333549
0,3.313053378
0,4.114339684
0,5.094523806
0,6.730859723
0,6.730859723
0,9.983691257
0,18.09556516
0,58.99523678
0,110.7214079
0,110.7214079
0,42.20424692
0,34.11354717
0,33.02361621
0.001,31.34932091
0.001,31.34932091
0.001,26.64873242
0.001,20.45052233
0.001,15.28364383
0.001,11.55678251
0.001,11.55678251
0.001,9.070781131
0.001,7.500999675
0.001,6.526498141
0.001,6.12302559
0.001,6.12302559
0.001,6.331303837
0.001,7.585961303
0.001,12.48758703
0.001,125.8631308
0.001,125.8631308
0.001,12.59090344
0.001,5.778042137
0.001,3.837964959
0.001,3.026442375
0.001,3.026442375
0.001,2.676620211
0.001,2.543480011
0.001,2.511298516
0.001,2.511327446
0.001,2.511327446
0.001,2.504169705
0.001,2.469139944
0.001,2.407322528
0.001,2.338420555
0.001,2.338420555
0.001,2.27601116
0.001,2.237826052
0.001,2.253054877
0.001,2.36153955
0.001,2.36153955
0.001,2.639574709
0.001,3.248384428
0.001,4.608319456
0.001,8.461871577
0.001,8.461871577
0.001,38.62689259
0.001,16.67113608
0.001,6.507150045
0.001,3.752315073
0.001,3.752315073
0.001,2.591620643
0.001,2.214611436
0.001,2.157448055
0.001,2.146771684
0.001,2.146771684
0.001,2.130058046
0.001,2.133785755
0.001,2.143867638
0.001,2.107580195
0.001,2.107580195
0.001,1.9669309
0.001,1.787309826
0.001,1.792880955
0.001,1.896926145
0.001,1.896926145
0.001,1.66459944
0.001,1.143919045
0.001,0.748702891
0.001,0.618104733
0.001,0.618104733
0.001,0.709000947
0.001,1.276935103
0.001,3.955278311
0.001,23.37381967
0.001,23.37381967
0.001,10.75519457
0.001,3.691875382
0.001,2.278796291
0.001,1.918845119
0.001,1.918845119
0.001,2.164728991
0.001,5.511881818
0.001,3.535071721
0.001,1.59518709
0.001,1.59518709
0.001,1.285279511
0.001,1.236201021
0.001,1.35111483
0.001,1.966623003
0.001,1.966623003
0.001,17.46263469
0.001,2.237550366
0.001,1.269762572
0.001,1.068130262
0.001,1.068130262
0.001,1.015566505
0.001,1.007792903
0.001,1.014844551
0.002,1.018891722
0.002,1.018891722
0.002,1.006220994
0.002,0.968583496
0.002,0.910022345
0.002,0.839151897
0.002,0.839151897
0.002,0.766204062
0.002,0.709993077
0.002,0.767093673
