dist,radius
0.011,0
0.011,0
0.011,0
0.012,0
0.012,0
0.012,0
0.013,0
0.013,0
0.014,0
0.015,0
0.015,582.8150939
0.016,577.1184222
0.017,515.0885832
0.018,237.307798
0.019,795.8404898
0.02,741.2312389
0.021,612.5688048
0.022,564.3150054
0.024,471.2066998
0.025,369.0850644
0.026,286.6568651
0.028,225.4485382
0.029,204.0827064
0.031,170.4712182
0.032,139.7038311
0.034,118.3695659
0.036,104.7530667
0.037,97.3405133
0.039,89.85841638
0.041,84.14622597
0.043,80.72705958
0.045,79.26054299
0.047,77.27875356
0.049,76.49839539
0.051,76.99548075
0.053,78.41394305
0.056,80.10802835
0.058,81.58630209
0.06,83.51747226
0.062,85.22211615
0.065,86.16091831
0.067,86.41044405
0.069,86.98304486
0.072,87.06203315
0.074,86.79439874
0.077,86.40235646
0.079,85.99408748
0.082,85.50325623
0.084,84.92507009
0.087,84.2599156
0.089,83.52738319
0.092,82.81099724
0.095,82.29936972
0.097,81.6261259
0.1,80.94307912
0.102,80.46003912
0.105,80.33654969
0.107,79.98471437
0.11,80.03961069
0.113,80.72851745
0.115,82.07216809
0.118,83.928492
0.121,85.50530607
0.123,88.21480894
0.126,92.17942421
0.129,97.19619278
0.131,102.933273
0.134,108.5402423
0.137,117.0142365
0.14,128.7813374
0.143,143.4021826
0.146,159.5413199
0.149,180.1661985
0.152,211.7218969
0.155,255.9900193
0.158,302.4509271
0.162,304.9861578
0.165,260.3408002
0.168,96.81881632
0.171,331.3263997
0.175,304.8826396
0.178,254.3053029
0.182,226.2913778
0.185,194.3594432
0.188,168.7290058
0.192,151.8354943
0.195,142.3616146
0.198,133.4537903
0.202,127.2760347
0.205,124.3818492
0.208,124.3175429
0.212,125.9644246
0.215,126.5649346
0.219,128.7812839
0.222,132.059627
0.226,135.6160661
0.229,139.1294905
0.233,143.3592201
0.236,148.9710966
0.24,156.2947778
0.243,165.2614366
0.247,175.4676305
0.25,185.0130727
0.253,199.6042115
0.257,220.4778915
0.26,246.7756272
0.264,273.9037488
0.268,315.6297119
0.271,376.8324642
0.275,449.6770919
0.278,509.9207312
0.282,547.7682818
0.286,601.1205448
0.289,649.974804
0.293,705.4983169
0.297,777.8606964
0.301,863.1955412
0.304,951.6728822
0.308,1063.871161
0.312,1067.776461
0.316,581.807049
0.32,308.2354087
0.323,1781.312942
0.327,2426.496693
0.331,2516.803816
0.335,2571.177326
0.339,2596.048506
0.343,2370.761939
0.347,1105.575671
0.351,1048.818773
0.355,1430.022621
0.359,1374.045224
0.363,1275.132568
0.367,1037.13243
0.371,902.9109197
0.375,744.6881589
0.379,551.068644
0.383,451.7460814
0.387,392.8471547
0.391,353.3427175
0.395,325.909231
0.398,306.5000877
0.402,287.0011855
0.406,267.360009
0.409,248.6069564
0.413,232.4525738
0.416,220.1166131
0.42,209.5801992
0.423,200.0054375
0.427,192.2776266
0.43,186.0664417
0.433,178.8010585
0.436,173.3571526
0.44,167.1544046
0.443,156.0864774
0.446,142.2210219
0.45,132.6244204
0.453,126.7151549
0.456,120.669411
0.46,115.8173951
0.463,113.1140564
0.466,112.7415252
0.469,111.2162023
0.473,111.8365003
0.476,115.3030351
0.479,121.6383886
0.482,130.0351811
0.486,138.6378689
0.489,152.9750439
0.492,173.2565548
0.496,196.5950642
0.499,217.4609786
0.503,249.9515722
0.506,288.2301947
0.51,321.4875624
0.513,337.2411625
0.517,335.6261527
0.52,340.1550278
0.524,331.2619162
0.528,313.3951452
0.531,293.8219684
0.535,276.9135007
0.539,263.065531
0.542,248.1565317
0.546,235.1028307
0.55,225.9471216
0.553,221.1346514
0.557,215.7345924
0.561,212.8997023
0.565,213.3564131
0.568,216.8362001
0.572,222.2439565
0.576,226.215993
0.58,233.3911586
0.584,243.2460746
0.587,254.0533529
0.591,263.7435204
0.595,275.3470468
0.599,288.2163405
0.603,299.6588713
0.607,307.1645229
0.611,310.4779573
0.615,314.8796904
0.619,316.6440589
0.623,316.5539611
0.627,316.2041336
0.631,316.9377231
0.635,317.5673002
0.639,320.2479384
0.643,326.2092311
0.647,335.9197032
0.651,349.3328505
0.655,361.3755803
0.659,383.0316537
0.663,417.5069503
0.667,464.7570914
0.67,517.0690343
0.674,598.6720496
0.678,720.592849
0.681,790.9682075
0.685,360.7181164
0.689,315.377945
0.692,681.1009963
0.696,650.5819877
0.699,517.5879828
0.703,414.0894124
0.706,346.8049558
0.71,305.1765786
0.713,264.8217755
0.716,232.0936404
0.72,209.0074618
0.723,194.1751645
0.726,181.0186122
0.73,169.9299659
0.733,162.3232542
0.736,158.4886289
0.74,157.7117875
0.743,155.721349
0.746,155.7980287
0.75,157.3230697
0.753,158.8143122
0.756,158.7975262
0.76,159.551193
0.763,158.0518699
0.767,153.700495
0.77,148.0421441
0.774,143.3500318
0.777,139.5587685
0.781,136.1861148
0.784,134.8458167
0.787,136.3077728
0.791,140.4819309
0.794,142.5225616
0.798,148.5856699
0.801,159.3129634
0.805,173.9964655
0.809,190.1596532
0.812,211.0422548
0.816,241.0896222
0.82,277.8213143
0.823,313.4085097
0.827,341.1195514
0.831,382.1113909
0.835,425.9462466
0.838,470.109062
0.842,512.3599042
0.846,549.3129995
0.85,595.0435612
0.854,649.7741317
0.858,702.7447996
0.862,730.9060265
0.866,721.2394849
0.87,730.2225316
0.873,697.6776624
0.877,634.1562663
0.881,568.1824672
0.885,515.003017
0.889,473.5487983
0.892,430.7745517
0.896,393.8399583
0.9,366.2147406
0.904,347.0236249
0.907,328.5500609
0.911,311.1521302
0.915,295.7717867
0.918,283.1114709
0.922,273.2048729
0.925,263.4639731
0.929,253.1993371
0.932,243.2146314
0.935,234.3934267
0.939,226.9896773
0.942,219.9869176
0.945,211.8909992
0.948,203.2319674
0.952,194.8647315
0.955,187.396876
0.958,180.823123
0.961,173.0235036
0.964,164.733769
0.968,157.0220722
0.971,150.5945811
0.974,144.9773813
0.977,138.8794466
0.98,133.2128554
0.984,128.8018604
0.987,125.9681105
0.99,122.9312985
0.993,120.6136902
0.996,119.5369123
0.999,119.8597332
1.002,121.3606271
