dist,radius
0,0
0,0
0,0.0064376
0.0016632,0.0217888
0.0049998,0.033571
0.0094486,0.0455231
0.0144382,0.0531103
0.0194431,0.3782786
0.0333456,1.0174179
0.0560761,1.5742944
0.0833249,1.7882258
0.1111299,2.5581465
0.1394044,5.5405197
0.1755508,7.9783478
0.2189265,11.6386328
0.266751,9.9257259
0.3149841,8.9034204
0.3644768,7.8900485
0.4173062,8.1860685
0.4738553,9.8230019
0.5328017,12.8689899
0.5923043,13.1106577
0.6521798,14.8652649
0.7161312,19.518364
0.7839752,31.2288589
0.85383,25.381216
0.9244545,21.8224335
0.9961912,21.0968723
1.0721444,18.635376
1.1533348,16.3093338
1.2373057,15.1488962
1.321575,18.4186535
1.406658,25.4939289
1.4961899,28.4238491
1.5904384,26.4685993
1.6871996,21.6561279
1.7839607,18.3244171
1.8804269,20.2690716
1.9821929,24.1710911
2.0889638,30.8464622
2.1990713,38.9485359
2.3093975,31.7882862
2.4211734,31.2445946
2.5373979,33.3725815
2.657149,34.6200485
2.7794907,34.6200485
2.9018324,31.7350445
3.0238011,37.5105324
3.1511476,40.5169029
3.2834991,33.4600525
3.4187734,29.5180187
3.5550176,29.7594738
3.6918178,33.3107834
3.8315274,43.9838524
3.9755569,60.4705505
4.1218108,78.3402252
4.2681733,92.7869873
4.4160955,99.894577
4.5695787,106.5156708
4.7275836,95.1837769
4.8894082,96.4966431
5.0523451,85.5911942
5.215894,93.3010254
5.3871724,101.3433151
5.56568,105.8114548
5.7480803,212.9153137
5.930479,inf
6.1139915,898.8937988
6.3019528,473.7006531
6.4943306,969.3692627
6.6895212,inf
6.8847118,193.8738556
7.0793073,102.5390701
7.2800588,77.7737198
7.4869275,62.1276894
7.6959375,74.9492645
7.9061427,94.18293
8.1169041,150.3621368
8.3336757,319.4663391
8.5577834,219.3665466
8.7852277,188.9490509
9.012533,147.6781006
9.2410895,140.1199341
9.4757631,163.9110565
9.7158196,188.6832123
9.9593908,303.2731934
10.203518,761.6410522
10.4474554,528.7453003
10.6971436,412.6158752
10.9518368,240.9566498
11.2093104,188.2211609
11.4665535,338.7981262
11.7245832,1775.261108
11.98873,309.7392883
12.2581699,173.1460266
12.5317704,173.8505707
12.805927,174.5565948
13.0798021,203.0497284
13.3623002,238.217392
13.6525836,183.4869385
13.9458629,157.8696747
14.2405951,184.8769684
14.5358834,221.8523407
14.8302715,221.8523407
15.1255598,221.8523407
15.4208481,369.7539368
15.7152362,1109.261719
16.0105245,552.5438843
16.3052567,366.973877
16.598536,550.4608154
16.8927121,1100.921631
17.1868882,733.9477539
17.4801675,731.1754761
17.7737875,364.2042542
18.0668514,242.8028107
18.3599154,242.8028107
