dist,radius
0,0
0,0
0,0
1.0000001,0
1.0000001,0
1.0000001,0
2.0000002,0
2.0000002,0
3.0000005,0
3.9999998,0
3.9999998,577.1184082
5.000001,577.1184082
6.000001,515.088562
6.999999,515.088562
7.9999995,741.2312622
9,741.2312622
10,612.5687866
11,564.3150024
13,471.2066956
14,369.0850525
15.000001,286.6568604
17,225.4485321
18,204.0827026
20,170.4712219
21.0000019,139.7038269
23.0000019,118.3695679
24.9999981,104.753067
26,97.3405151
28,89.8584137
30.0000019,84.146225
32,80.7270584
34,79.2605438
36,77.2787552
38,76.9954834
40,76.9954834
42,78.4139404
45,80.1080246
47,81.5863037
49,83.5174713
51,85.2221146
53.9999962,86.1609192
56,86.4104462
58,86.9830475
60.9999962,86.9830475
63,86.7943954
66,86.402359
68,85.9940872
71,85.5032578
73,84.9250717
76,84.2599182
78,83.5273819
81,82.810997
84,82.2993698
86,81.6261292
89,80.9430771
91,80.4600372
94,80.3365479
96,80.0396118
99,80.0396118
102,80.7285156
104,82.0721664
107,83.9284897
110,85.5053024
112,88.2148056
115,92.1794205
117.9999924,97.1961899
120,102.9332733
123,108.5402451
125.9999847,117.0142365
129.0000153,128.7813416
132,143.4021759
134.9999847,159.5413208
138.0000153,180.1661987
141,211.7218933
144,255.9900208
147.0000153,302.4509277
151,302.4509277
154.0000153,260.3407898
157,260.3407898
160,304.8826294
164,304.8826294
167,254.3052979
171,226.2913818
174,194.359436
176.9999847,168.7290039
181,151.835495
183.9999847,142.361618
187,133.4537964
191.0000153,127.2760315
194,124.3818512
197,124.3818512
201,125.9644241
204,126.5649338
208,128.7812805
211,132.0596313
215,135.6160736
218,139.1294861
222,143.3592224
225,148.9710999
229,156.2947845
232,165.2614441
236,175.4676361
239,185.0130768
241.9999847,199.6042175
245.9999847,220.47789
248.9999847,246.7756348
252.9999847,273.9037476
257,315.6296997
260,376.8324585
264,449.6770935
267,509.9207458
271,547.7683105
275,601.1205444
278,649.9747925
282,705.498291
285.9999695,777.8607178
290,863.1955566
292.9999695,951.6729126
297,1063.871216
301,1063.871216
305,581.8070679
309,581.8070679
312,1781.312988
316,2426.496582
320,2516.803711
324,2571.177246
327.9999695,2571.177246
332,2370.761963
336,1105.575684
340,1105.575684
343.9999695,1374.045166
348,1374.045166
352,1275.132568
356,1037.132446
359.9999695,902.9109497
364,744.6881714
368,551.0686646
371.9999695,451.7460938
376,392.847168
380,353.3427124
384,325.9092407
387,306.5000916
391,287.0011902
394.9999695,267.3600159
398,248.6069489
401.9999695,232.4525757
405,220.1166077
408.9999695,209.5802002
412,200.0054321
415.9999695,192.2776337
419,186.0664368
422,178.8010559
424.9999695,173.3571472
429,167.1544037
